[00:00:00] , "Team 2" , "5" , "Mei" , "EV_PlayerJoinedMatch" , "Mei" , ""
[00:00:06] , "Team 2" , "5" , "Mei" , "EV_PlayerPosition" , "(-108.74, 4.00, -79.66)" , ""
[00:00:06] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-108.21, 4.00, -78.07)" , ""
[00:00:06] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(-106.61, 4.00, -81.79)" , ""
[00:00:06] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-107.67, 4.00, -80.72)" , ""
[00:00:06] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-106.08, 4.00, -80.19)" , ""
[00:00:06] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-109.80, 4.00, -78.60)" , ""
[00:00:06] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(30.10, 6.00, -65.23)" , ""
[00:00:06] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(29.07, 6.00, -64.01)" , ""
[00:00:06] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(31.03, 6.06, -64.61)" , ""
[00:00:06] , "Team 1" , "2" , "Zenyatta" , "EV_PlayerPosition" , "(27.10, 5.97, -65.65)" , ""
[00:00:06] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(26.51, 6.05, -64.64)" , ""
[00:00:08] , "Team 2" , "5" , "Mei" , "EV_PlayerPosition" , "(-108.74, 4.00, -79.66)" , ""
[00:00:08] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-108.21, 4.00, -78.07)" , ""
[00:00:08] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(-106.61, 4.00, -81.79)" , ""
[00:00:08] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-107.67, 4.00, -80.72)" , ""
[00:00:08] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-106.08, 4.00, -80.19)" , ""
[00:00:08] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-109.80, 4.00, -78.60)" , ""
[00:00:08] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(18.53, 6.00, -63.59)" , ""
[00:00:08] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(18.11, 6.00, -61.54)" , ""
[00:00:08] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(19.70, 6.00, -63.51)" , ""
[00:00:08] , "Team 1" , "2" , "Zenyatta" , "EV_PlayerPosition" , "(16.34, 6.00, -61.48)" , ""
[00:00:08] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(16.23, 6.00, -59.49)" , ""
[00:00:08] , "Team 1" , "0" , "NELS" , "EV_SwitchedHero" , "McCree" , ""
[00:00:09] , "Team 1" , "0" , "NELS" , "COM_Hello" , "" , ""
[00:00:10] , "Team 2" , "5" , "Mei" , "EV_PlayerPosition" , "(-108.74, 4.00, -79.66)" , ""
[00:00:10] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-108.21, 4.00, -78.07)" , ""
[00:00:10] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(-106.61, 4.00, -81.79)" , ""
[00:00:10] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-107.67, 4.00, -80.72)" , ""
[00:00:10] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-106.08, 4.00, -80.19)" , ""
[00:00:10] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-109.80, 4.00, -78.60)" , ""
[00:00:10] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(9.96, 6.00, -57.14)" , ""
[00:00:10] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(8.41, 6.00, -56.05)" , ""
[00:00:10] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(11.03, 6.00, -56.32)" , ""
[00:00:10] , "Team 1" , "2" , "Zenyatta" , "EV_PlayerPosition" , "(6.67, 6.00, -57.16)" , ""
[00:00:10] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(5.28, 6.00, -56.04)" , ""
[00:00:10] , "Team 2" , "5" , "Mei" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 2" , "4" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 2" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 2" , "2" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 2" , "1" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 2" , "0" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 1" , "5" , "Bastion" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 1" , "4" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 1" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 1" , "2" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 1" , "1" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:10] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(58.13, 4.87, -66.89)" , ""
[00:00:12] , "Team 1" , "0" , "NELS" , "EV_SwitchedHero" , "Reaper" , ""
[00:00:12] , "Team 2" , "5" , "Mei" , "EV_PlayerPosition" , "(-108.74, 4.00, -79.66)" , ""
[00:00:12] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-108.21, 4.00, -78.07)" , ""
[00:00:12] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(-106.61, 4.00, -81.79)" , ""
[00:00:12] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-107.67, 4.00, -80.72)" , ""
[00:00:12] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-106.08, 4.00, -80.19)" , ""
[00:00:12] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-109.80, 4.00, -78.60)" , ""
[00:00:12] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(1.03, 6.00, -61.22)" , ""
[00:00:12] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(0.39, 6.00, -61.10)" , ""
[00:00:12] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(0.30, 6.00, -59.84)" , ""
[00:00:12] , "Team 1" , "2" , "Zenyatta" , "EV_PlayerPosition" , "(1.15, 6.00, -63.66)" , ""
[00:00:12] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-0.11, 6.00, -63.59)" , ""
[00:00:12] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(54.26, 4.00, -67.02)" , ""
[00:00:13] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:14] , "Team 2" , "5" , "Mei" , "EV_PlayerPosition" , "(-108.74, 4.00, -79.66)" , ""
[00:00:14] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-108.21, 4.00, -78.07)" , ""
[00:00:14] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(-106.61, 4.00, -81.79)" , ""
[00:00:14] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-107.67, 4.00, -80.72)" , ""
[00:00:14] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-106.08, 4.00, -80.19)" , ""
[00:00:14] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-109.80, 4.00, -78.60)" , ""
[00:00:14] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(-8.82, 6.03, -66.25)" , ""
[00:00:14] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(-7.75, 6.03, -64.08)" , ""
[00:00:14] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(-6.49, 6.03, -65.79)" , ""
[00:00:14] , "Team 1" , "2" , "Zenyatta" , "EV_PlayerPosition" , "(-10.43, 6.03, -65.90)" , ""
[00:00:14] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-12.79, 6.02, -65.15)" , ""
[00:00:14] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(44.62, 6.71, -63.80)" , ""
[00:00:15] , "Team 1" , "0" , "NELS" , "COM_Hello" , "" , ""
[00:00:15] , "Team 2" , "5" , "Mei" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 2" , "4" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 2" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 2" , "2" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 2" , "1" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 2" , "0" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 1" , "5" , "Bastion" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 1" , "4" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 1" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 1" , "2" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:15] , "Team 1" , "1" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:16] , "Team 1" , "1" , "Lúcio" , "EV_UsedAbility_2" , "Lúcio" , ""
[00:00:16] , "Team 2" , "5" , "Mei" , "EV_PlayerPosition" , "(-108.74, 4.00, -79.66)" , ""
[00:00:16] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-108.21, 4.00, -78.07)" , ""
[00:00:16] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(-106.61, 4.00, -81.79)" , ""
[00:00:16] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-107.67, 4.00, -80.72)" , ""
[00:00:16] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-106.08, 4.00, -80.19)" , ""
[00:00:16] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-109.80, 4.00, -78.60)" , ""
[00:00:16] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(-21.64, 6.03, -67.60)" , ""
[00:00:16] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(-20.58, 6.03, -65.07)" , ""
[00:00:16] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(-19.46, 6.02, -65.84)" , ""
[00:00:16] , "Team 1" , "2" , "Zenyatta" , "EV_PlayerPosition" , "(-23.27, 6.03, -65.60)" , ""
[00:00:16] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-26.54, 6.04, -65.62)" , ""
[00:00:16] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(33.96, 6.76, -63.49)" , ""
[00:00:18] , "Team 2" , "5" , "Mei" , "EV_PlayerPosition" , "(-108.74, 4.00, -79.66)" , ""
[00:00:18] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-108.21, 4.00, -78.07)" , ""
[00:00:18] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(-106.61, 4.00, -81.79)" , ""
[00:00:18] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-107.67, 4.00, -80.72)" , ""
[00:00:18] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-106.08, 4.00, -80.19)" , ""
[00:00:18] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-109.80, 4.00, -78.60)" , ""
[00:00:18] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(-35.45, 5.85, -61.72)" , ""
[00:00:18] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(-34.88, 5.85, -60.42)" , ""
[00:00:18] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(-34.38, 5.85, -61.83)" , ""
[00:00:18] , "Team 1" , "2" , "Zenyatta" , "EV_PlayerPosition" , "(-37.28, 6.00, -59.00)" , ""
[00:00:18] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-39.57, 6.00, -56.83)" , ""
[00:00:18] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(23.25, 6.77, -65.03)" , ""
[00:00:18] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:19] , "Team 1" , "0" , "NELS" , "COM_Hello" , "" , ""
[00:00:20] , "Team 2" , "5" , "Mei" , "EV_PlayerPosition" , "(-108.74, 4.00, -79.66)" , ""
[00:00:20] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-108.21, 4.00, -78.07)" , ""
[00:00:20] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(-106.61, 4.00, -81.79)" , ""
[00:00:20] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-107.67, 4.00, -80.72)" , ""
[00:00:20] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-106.08, 4.00, -80.19)" , ""
[00:00:20] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-109.80, 4.00, -78.60)" , ""
[00:00:20] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(-46.03, 5.52, -54.07)" , ""
[00:00:20] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(-46.25, 5.49, -52.21)" , ""
[00:00:20] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(-44.51, 5.76, -54.18)" , ""
[00:00:20] , "Team 1" , "2" , "Zenyatta" , "EV_PlayerPosition" , "(-49.04, 5.06, -51.71)" , ""
[00:00:20] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-51.87, 4.61, -51.63)" , ""
[00:00:20] , "Team 2" , "5" , "Mei" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 2" , "4" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 2" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 2" , "2" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 2" , "1" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 2" , "0" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 1" , "5" , "Bastion" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 1" , "4" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 1" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 1" , "2" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 1" , "1" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:20] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(16.03, 7.04, -57.59)" , ""
[00:00:22] , "Team 2" , "5" , "Mei" , "EV_PlayerPosition" , "(-108.74, 4.00, -79.66)" , ""
[00:00:22] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-108.21, 4.00, -78.07)" , ""
[00:00:22] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(-106.61, 4.00, -81.79)" , ""
[00:00:22] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-107.67, 4.00, -80.72)" , ""
[00:00:22] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-106.08, 4.00, -80.19)" , ""
[00:00:22] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-109.80, 4.00, -78.60)" , ""
[00:00:22] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(-57.30, 3.85, -52.14)" , ""
[00:00:22] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(-58.56, 3.85, -50.06)" , ""
[00:00:22] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(-56.09, 3.96, -51.39)" , ""
[00:00:22] , "Team 1" , "2" , "Zenyatta" , "EV_PlayerPosition" , "(-62.51, 3.85, -51.63)" , ""
[00:00:22] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-65.55, 3.85, -51.63)" , ""
[00:00:22] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(5.66, 6.75, -56.01)" , ""
[00:00:23] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:24] , "Team 2" , "5" , "Mei" , "EV_PlayerPosition" , "(-108.74, 4.00, -79.66)" , ""
[00:00:24] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-108.21, 4.00, -78.07)" , ""
[00:00:24] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(-106.61, 4.00, -81.79)" , ""
[00:00:24] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-107.67, 4.00, -80.72)" , ""
[00:00:24] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-106.08, 4.00, -80.19)" , ""
[00:00:24] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-109.80, 4.00, -78.60)" , ""
[00:00:24] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(-69.93, 3.85, -51.05)" , ""
[00:00:24] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(-71.41, 3.85, -48.70)" , ""
[00:00:24] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(-68.35, 3.85, -49.92)" , ""
[00:00:24] , "Team 1" , "2" , "Zenyatta" , "EV_PlayerPosition" , "(-71.78, 3.85, -48.85)" , ""
[00:00:24] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-73.13, 3.85, -49.06)" , ""
[00:00:24] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(0.61, 6.00, -63.47)" , ""
[00:00:25] , "Team 2" , "5" , "Mei" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 2" , "4" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 2" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 2" , "2" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 2" , "1" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 2" , "0" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 1" , "5" , "Bastion" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 1" , "4" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 1" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 1" , "2" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:25] , "Team 1" , "1" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:26] , "Team 2" , "5" , "Mei" , "EV_PlayerPosition" , "(-108.74, 4.00, -79.66)" , ""
[00:00:26] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-108.21, 4.00, -78.07)" , ""
[00:00:26] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(-106.61, 4.00, -81.79)" , ""
[00:00:26] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(-107.67, 4.00, -80.72)" , ""
[00:00:26] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-106.08, 4.00, -80.19)" , ""
[00:00:26] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-109.80, 4.00, -78.60)" , ""
[00:00:26] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(-71.48, 3.85, -49.65)" , ""
[00:00:26] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(-71.23, 4.00, -47.68)" , ""
[00:00:26] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(-71.31, 3.85, -48.67)" , ""
[00:00:26] , "Team 1" , "2" , "Zenyatta" , "EV_PlayerPosition" , "(-72.25, 3.85, -49.02)" , ""
[00:00:26] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-73.13, 3.85, -49.06)" , ""
[00:00:26] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-8.35, 6.03, -66.68)" , ""
